trip_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
1417,1.0,4.5,0.0,0.5,1.56,0.0,0.3,2.5,9.36
1418,1.0,12.0,0.5,0.5,3.95,0.0,0.3,2.5,19.75
1419,2.0,52.0,7.0,0.5,0.0,6.12,0.3,2.5,65.92
1420,1.0,7.0,2.5,0.5,2.05,0.0,0.3,2.5,12.35
1421,1.0,7.0,1.0,0.5,2.82,0.0,0.3,2.5,14.12
1422,1.0,5.0,0.5,0.5,1.76,0.0,0.3,2.5,10.56
1423,2.0,12.0,1.0,0.5,0.0,0.0,0.3,0.0,13.8
1424,1.0,7.0,1.0,0.5,2.26,0.0,0.3,2.5,13.56
1425,2.0,4.5,0.0,0.5,0.0,0.0,0.3,2.5,7.8
1426,2.0,12.0,0.5,0.5,0.0,0.0,0.3,2.5,15.8
1427,2.0,8.0,0.0,0.5,0.0,0.0,0.3,2.5,11.3
1428,2.0,13.5,0.0,0.5,0.0,0.0,0.3,2.5,16.8
1429,1.0,10.0,0.0,0.5,2.66,0.0,0.3,2.5,15.96
1430,2.0,10.0,0.5,0.5,0.0,0.0,0.3,2.5,13.8
1431,1.0,8.0,1.0,0.5,1.0,0.0,0.3,0.0,10.8
1432,2.0,7.5,0.0,0.5,0.0,0.0,0.3,2.5,10.8
1433,1.0,25.5,2.5,0.5,5.75,0.0,0.3,2.5,34.55
1434,2.0,23.0,0.5,0.5,0.0,0.0,0.3,2.5,26.8
1435,1.0,12.5,2.5,0.5,3.15,0.0,0.3,2.5,18.95
1436,1.0,18.0,0.5,0.5,5.45,0.0,0.3,2.5,27.25
1437,2.0,28.0,1.0,0.5,0.0,0.0,0.3,2.5,32.3
1438,1.0,5.0,0.5,0.5,1.76,0.0,0.3,2.5,10.56
1439,2.0,19.0,0.0,0.5,0.0,0.0,0.3,2.5,22.3
1440,1.0,17.5,2.5,0.5,2.0,0.0,0.3,2.5,22.8
1441,2.0,6.0,0.0,0.5,0.0,0.0,0.3,2.5,9.3
1442,2.0,22.0,0.5,0.5,0.0,0.0,0.3,2.5,25.8
1443,1.0,11.5,0.5,0.5,3.82,0.0,0.3,2.5,19.12
1444,1.0,11.5,0.0,0.5,2.0,0.0,0.3,2.5,16.8
1445,2.0,3.5,3.0,0.5,0.0,0.0,0.3,2.5,7.3
1446,2.0,12.0,0.5,0.5,0.0,0.0,0.3,2.5,15.8
1447,1.0,18.5,3.5,0.5,2.0,0.0,0.3,2.5,24.8
1448,1.0,6.0,0.0,0.5,1.86,0.0,0.3,2.5,11.16
